Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
564000,0.41312495,0.00029999999,0.6163758319496309,12.25503355704698,0.3426511,0.6151494819460517,0.00051505165,-0.3438418,0.00022602254,0.00022333856,0.004166833
568000,0.43674085,0.00029999999,0.6102702632244374,12.493243243243244,0.34207162,0.6108107907647217,0.000481594,-0.34518847,0.00021382235,0.00021278327,0.0041984734
572000,0.42617902,0.00029999999,0.6213770421802021,12.19672131147541,0.3434115,0.6196052411473111,0.0004945263,-0.34625757,0.00021798591,0.00021661798,0.0042079906
576000,0.42670774,0.00029999999,0.622379414833052,11.964630225080386,0.34573746,0.6235598483903508,0.00047898345,-0.34685245,0.00021575969,0.00021172928,0.004226197
580000,0.439792,0.00029999999,0.6184917964407655,12.19672131147541,0.34594107,0.6198019603199691,0.000505246,-0.3481114,0.0002202122,0.00021880778,0.004249294
584000,0.43364358,0.00029999999,0.6214864794920022,12.280405405405405,0.34693435,0.6204650957025959,0.00046632902,-0.34880754,0.00020483491,0.00020474308,0.0042400826
588000,0.45153996,0.00029999999,0.6178378308242237,12.466216216216216,0.34464923,0.6178378199000616,0.00048028387,-0.34873956,0.00021217794,0.00021095967,0.004224497
592000,0.42534804,0.00029999999,0.6176158872414503,12.2682119205298,0.34573373,0.6172185233787985,0.00047249752,-0.34859884,0.00021059129,0.00020778336,0.0042163557
596000,0.44486356,0.00029999999,0.6142019479010703,12.13029315960912,0.34536487,0.6154753889216751,0.00047889235,-0.34778,0.00021274477,0.0002098158,0.004190047
600000,0.42661086,0.00029999999,0.626143784110063,11.947712418300654,0.34717667,0.6248051718651474,0.00052059174,-0.34719163,0.00022802166,0.00022715548,0.004131855
604000,0.4152408,0.00029999999,0.6225640962425715,11.826923076923077,0.34734994,0.6225640811503698,0.0004855688,-0.3473522,0.00021674675,0.00021498256,0.0041768486
608000,0.42687032,0.00029999996,0.6286624141606936,11.799363057324841,0.34858695,0.6288817676301962,0.00048441222,-0.3480052,0.00020761485,0.00021709497,0.0041650524
612000,0.43793863,0.00029999999,0.6284967252339413,12.045751633986928,0.34814683,0.6289250574010979,0.00045226348,-0.34935203,0.00020207057,0.00020149983,0.004139678
616000,0.4010599,0.00029999999,0.6210862556204628,11.801916932907348,0.349402,0.6206410043419172,0.00045950402,-0.34939316,0.0002041187,0.00020129446,0.0041234693
620000,0.41114256,0.00029999996,0.6328526581856524,11.652037617554859,0.35140097,0.6324289987327925,0.00046215506,-0.35017756,0.00020515236,0.00020222149,0.0041710753
624000,0.4301621,0.00029999999,0.6208524524188432,11.960655737704919,0.3504317,0.6215584203600883,0.00044462306,-0.35163748,0.0001961158,0.00019437548,0.004163496
628000,0.4130188,0.00029999996,0.6299041469875997,11.766773162939296,0.35203505,0.6296485381575819,0.00043418218,-0.35271776,0.0001923745,0.00019469886,0.0041763163
632000,0.42294982,0.00029999999,0.6268789747575666,11.754777070063694,0.3520841,0.6268789583615436,0.00043763864,-0.35297883,0.00019683217,0.00019436477,0.004192281
636000,0.39181048,0.00029999999,0.6362499937415123,11.56875,0.35376918,0.6363521769361676,0.00043890072,-0.35338414,0.00019592584,0.00019185082,0.0042677736
640000,0.40111092,0.00029999999,0.6278980828252188,11.671974522292993,0.35355845,0.6281012419752682,0.00043384568,-0.35442096,0.0001913516,0.00019137507,0.0043881577
644000,0.4099993,0.00029999999,0.637079358692207,11.679365079365079,0.35367712,0.637079342017098,0.00045767252,-0.355292,0.00019851686,0.00019834086,0.0044422387
648000,0.4238561,0.00029999999,0.6243589676630038,11.916666666666666,0.3561788,0.6249032027779087,0.00041547828,-0.356764,0.00018373202,0.00018026533,0.004457374
652000,0.42128313,0.00029999996,0.6313826302575528,11.842443729903536,0.3529239,0.6307395303747662,0.00042806903,-0.3563456,0.00019148522,0.00019217157,0.0044269213
656000,0.41887346,0.00029999999,0.631923070583397,11.798076923076923,0.35494995,0.631821062332525,0.00042430783,-0.35692117,0.00018560147,0.00018727142,0.004455775
660000,0.4258785,0.00029999999,0.6306709199905777,11.741214057507987,0.35686472,0.6310827785711379,0.00042556875,-0.35759926,0.00018675975,0.00018815044,0.0045061354
664000,0.4379083,0.00029999999,0.6277602460435137,11.61198738170347,0.3553956,0.6269620009049585,0.00042699758,-0.35746312,0.00018913552,0.00018997668,0.0045272773
668000,0.44595027,0.00029999999,0.6265814631177594,11.856230031948881,0.3556314,0.6267948483045285,0.0004112146,-0.3582147,0.00018024561,0.00018060353,0.004427107
672000,0.43201175,0.0003,0.6223255743665552,12.255813953488373,0.35391322,0.6227814363229354,0.00041719666,-0.35782713,0.00018793996,0.00018556601,0.0043959217
676000,0.43597373,0.00029999996,0.6312101848043834,11.684713375796179,0.35592586,0.6307301352894495,0.00039558957,-0.35772595,0.00017539425,0.00017764392,0.0043411865
