Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff
192000,1.9582095,0.00029999999,-0.005190311438020538,16.0,1.237839,-0.0057571968341127355,0.0015367877,-1.2393986,0.00046823823,0.00043218143,0.046974972
196000,1.9474932,0.00029999999,0.008225324058557972,16.0,1.1750486,0.008225324216409254,0.000713643,-1.1760417,0.00028842592,0.00025832822,0.04465768
200000,1.9339842,0.00029999999,0.016227180587834324,16.0,1.1140177,0.01576971243670646,0.00056907046,-1.1161344,0.00027028643,0.00023008185,0.042609576
204000,1.9366394,0.00029999999,0.006127451003218691,16.0,1.0530252,0.007509386713834519,0.0006335251,-1.0589362,0.00027612213,0.000241358,0.040614907
208000,1.9327066,0.00029999999,0.01926977694805326,16.0,0.9988296,0.0174476573464729,0.0010259891,-1.0050758,0.00033200433,0.00029455486,0.038693596
212000,1.9288574,0.0003,0.03041729523649073,16.0,0.9564669,0.030788485975341593,0.0012728121,-0.95730996,0.00040775607,0.00035394338,0.03684114
216000,1.907916,0.00029999999,0.020266930377032578,16.0,0.911473,0.019274092846094295,0.00070799986,-0.91409767,0.00028264232,0.00025561513,0.035086237
220000,1.9044385,0.00029999999,0.04462474661654439,16.0,0.85880893,0.04455569533908621,0.0006595568,-0.8667995,0.00025649098,0.0002326308,0.033455763
224000,1.8922548,0.00029999999,0.03830944156634206,16.0,0.8121778,0.0386340982454308,0.0006980472,-0.8187963,0.0002741523,0.00024159724,0.031871762
228000,1.8899602,0.00029999999,0.042986425499503426,16.0,0.7742434,0.043304130863002006,0.001295164,-0.7816924,0.00042364458,0.00040917273,0.03041056
232000,1.8705142,0.00029999999,0.05184446679333509,16.0,0.74316955,0.05181476909746515,0.0008229622,-0.7462164,0.00028036197,0.00023688542,0.02899774
236000,1.843498,0.0003,0.04901960802574953,16.0,0.6993722,0.04935194477754629,0.00050915347,-0.70492405,0.00021863784,0.0001990792,0.02760636
240000,1.8352636,0.00029999996,0.05561047969307719,16.0,0.65981615,0.0548185240239539,0.0004955925,-0.66686296,0.00021526308,0.00019936323,0.026310079
244000,1.8112957,0.00029999996,0.07429006112867902,16.0,0.6243242,0.07459324279681165,0.0006404053,-0.6295317,0.00023566149,0.00021520129,0.02514126
248000,1.8108988,0.00029999999,0.07538309469506019,16.0,0.5904722,0.07577268300988411,0.0006652248,-0.59594893,0.00023637415,0.00021290874,0.024015296
252000,1.7865337,0.00029999996,0.07390648594651467,16.0,0.5568494,0.07259073948606531,0.0005748202,-0.5636485,0.00021946806,0.00020143641,0.022923028
256000,1.754965,0.00029999999,0.0917546509199927,16.0,0.52678406,0.09236545865523055,0.00046997436,-0.5318376,0.00021117153,0.00019285237,0.021898925
260000,1.7401823,0.00029999996,0.09218981744674574,16.0,0.49584708,0.09136420688096514,0.00053238194,-0.5029992,0.00021236982,0.00019937161,0.020931212
264000,1.7599547,0.00029999996,0.08748114663056838,16.0,0.46875033,0.08873380015020148,0.00096655893,-0.47575507,0.00033425898,0.00028784483,0.01999678
268000,1.7492192,0.00029999999,0.08597285099900685,16.0,0.45130795,0.08535669726577211,0.00085173186,-0.4541196,0.0003082233,0.00029086092,0.019068463
272000,1.7034775,0.00029999999,0.10019940216788802,16.0,0.42632067,0.09987484528980356,0.0005502466,-0.43014845,0.0002145384,0.00020754861,0.01816838
276000,1.6703293,0.00029999999,0.11390827559881796,16.0,0.40059868,0.11465603411513364,0.0007033807,-0.40487036,0.0002353363,0.00021736797,0.017325683
280000,1.6697762,0.00029999999,0.10583207681456692,16.0,0.3774916,0.10513141586425456,0.00069368933,-0.383299,0.00025763025,0.00024317848,0.016560603
284000,1.6367942,0.00029999999,0.12512462658776066,16.0,0.35807073,0.1249061349066014,0.0004958223,-0.3639242,0.00020121015,0.00018487427,0.015851064
288000,1.5991971,0.00029999999,0.13185443718112627,16.0,0.33812237,0.13191489597901385,0.0007422552,-0.34419793,0.00027067788,0.00023743493,0.015181818
292000,1.6272124,0.00029999996,0.11840120707757962,16.0,0.32142708,0.11864406978553635,0.000942717,-0.32586432,0.00031112164,0.0003033535,0.014533932
296000,1.5762153,0.00029999999,0.13198220513823652,16.0,0.3067897,0.13141427030588718,0.0007694248,-0.30879056,0.00023342791,0.0002166506,0.013919818
300000,1.538074,0.00029999996,0.13615618711979738,16.0,0.28890735,0.13667084122908876,0.000496687,-0.2912929,0.00019677762,0.000182811,0.01334666
304000,1.5005171,0.00029999999,0.152916251736993,15.995762711864407,0.27131212,0.15366401048219305,0.00053630077,-0.27565208,0.00020366182,0.00018878907,0.012808563
308000,1.4874241,0.00029999999,0.1520438689612231,16.0,0.2534151,0.15093867602817557,0.000456597,-0.25897843,0.00019718474,0.00018902865,0.012277174
312000,1.4688679,0.00029999999,0.15416251295798664,15.995762711864407,0.242325,0.1548185263225373,0.000422713,-0.24419309,0.00018691467,0.00017908154,0.0117734475
316000,1.4141483,0.00029999999,0.1725741583519639,15.987179487179487,0.22463776,0.17210867696331214,0.00061735156,-0.22982137,0.000234127,0.0002156375,0.011308564
320000,1.4162362,0.0003,0.17548609467293427,16.0,0.21363392,0.1759699657400872,0.0007030795,-0.21714824,0.00023931755,0.00022800914,0.010847662
324000,1.4146904,0.00029999999,0.18103448319216742,15.982758620689655,0.20609853,0.1802093755232833,0.00075059244,-0.20540799,0.00028657922,0.00026187996,0.010401729
328000,1.3677651,0.00029999996,0.1983729668674951,15.995744680851065,0.19511363,0.1988735961311675,0.0007768142,-0.19425976,0.00028859585,0.0002685438,0.0099837715
332000,1.3535322,0.00029999996,0.19023779779672623,15.991489361702127,0.18631692,0.19023780096718607,0.0006835914,-0.18636669,0.00027403407,0.00025956146,0.009595626
336000,1.3087765,0.00029999999,0.19790628189378875,16.0,0.1784037,0.19715852819193722,0.00072774116,-0.17776547,0.00028766485,0.00027645385,0.009217116
340000,1.2930121,0.00029999996,0.20162703446409805,15.995744680851065,0.17134768,0.20137672503577903,0.00067927275,-0.17129852,0.00028108963,0.0002751987,0.008862043
344000,1.2707387,0.00029999999,0.2037815132076625,15.987394957983193,0.16535786,0.203514460758385,0.0007133121,-0.16605298,0.00031406048,0.00030884478,0.008519058
348000,1.2348422,0.00029999996,0.21505781864094684,15.987179487179487,0.1633094,0.21614518557140167,0.000812718,-0.16145305,0.00032977414,0.00031710448,0.008186867
352000,1.2191107,0.00029999999,0.24857284731471338,15.953586497890296,0.16284002,0.24763210918122935,0.0009368073,-0.15753911,0.0003657901,0.00035054184,0.007875346
356000,1.2238262,0.0003,0.2486173963635905,15.982905982905983,0.15936111,0.24831039376081304,0.0008023551,-0.15551768,0.00033964345,0.00032724187,0.0075698234
360000,1.1773678,0.00029999999,0.25944931220976597,15.961702127659574,0.15726973,0.2598454693048182,0.0008811454,-0.15341659,0.00035548044,0.00034315058,0.0072870622
364000,1.1669246,0.00029999999,0.24140079834861522,15.98728813559322,0.15433292,0.24165005495740197,0.000826601,-0.1536584,0.00034763003,0.0003365117,0.0070233154
368000,1.1495286,0.00029999999,0.252171755402903,15.966244725738397,0.15273832,0.25249252823512935,0.0007365969,-0.1519006,0.0003203679,0.0003097493,0.006763374
372000,1.1171278,0.0003,0.25306633338332174,15.948936170212766,0.15145057,0.2524925279509971,0.0007245578,-0.15221852,0.00032470236,0.00031910845,0.0065137353
376000,1.0900817,0.00029999999,0.26246261250985375,15.932203389830509,0.15204905,0.2619641127885651,0.0008224162,-0.15273193,0.00033322556,0.0003330634,0.0062822043
380000,1.0751718,0.00029999999,0.28302592234054613,15.911016949152541,0.15359443,0.2832751799280108,0.0007077682,-0.15191323,0.00032268287,0.0003133428,0.0060576564
384000,1.0549737,0.00029999996,0.2760468603711638,15.995762711864407,0.15350634,0.2760468658880662,0.0008291478,-0.15399975,0.00034618535,0.00034335733,0.005841986
388000,1.022659,0.00029999999,0.2855184452560872,15.944915254237289,0.15615699,0.2855184505677829,0.00072334823,-0.1557628,0.0003205587,0.00031243492,0.0056303726
392000,1.0399933,0.00029999999,0.28803673436087146,15.962025316455696,0.15733701,0.28801097326233227,0.0008240013,-0.156703,0.00032795215,0.00030988132,0.0054305377
396000,1.017818,0.00029999999,0.29097536542954355,15.987179487179487,0.15521058,0.2909887428296373,0.0007607853,-0.15560581,0.00031864498,0.0003105563,0.0052327495
400000,0.98020613,0.00029999996,0.3131049892114562,15.89451476793249,0.15791975,0.31335319650952825,0.00065348326,-0.1563409,0.0002903818,0.0002886719,0.005039498
404000,0.93045497,0.00029999999,0.3173243985884677,15.928270042194093,0.16147125,0.31667498099791297,0.0006993467,-0.15898632,0.0002734919,0.0002669779,0.0048563173
408000,0.91331387,0.00029999999,0.32140175283272215,15.931914893617021,0.16018036,0.3212861483600938,0.0006500809,-0.15915892,0.0002780826,0.0002644906,0.004688326
412000,0.91000503,0.00029999999,0.32103689013333137,15.940677966101696,0.16048868,0.32153540055693713,0.00056447135,-0.16045411,0.0002500926,0.00024467587,0.004526271
416000,0.8844201,0.00029999999,0.3146317356712177,15.932773109243698,0.16124597,0.31496649994691717,0.00060814735,-0.16364951,0.0002598398,0.0002512515,0.004364504
420000,0.8627,0.00029999999,0.30844645633593076,15.965811965811966,0.16114959,0.3078848626543867,0.00067276455,-0.1637349,0.00026071363,0.00024838498,0.0042104432
424000,0.86150247,0.00029999999,0.31228373732668263,15.894957983193278,0.16204827,0.31161579211490065,0.0005565204,-0.16540444,0.00023697827,0.00022885093,0.004057749
428000,0.83412576,0.00029999996,0.31056829564020794,15.923728813559322,0.16391326,0.3114916917864029,0.00054132554,-0.16681328,0.0002403352,0.00023650452,0.00391318
432000,0.8138083,0.00029999996,0.34484047905968157,15.902542372881356,0.1681003,0.3450897375153283,0.0005290342,-0.16787285,0.00022546628,0.00021785547,0.0037805657
436000,0.8131692,0.00029999996,0.3366151552379005,15.936440677966102,0.16917865,0.33661516197025776,0.000529959,-0.16992757,0.0002260666,0.00021867028,0.0036439816
440000,0.7817543,0.00029999999,0.3465150771271281,15.92436974789916,0.1695816,0.34648796919151703,0.000562581,-0.17084257,0.00023043691,0.00022531895,0.0035166778
444000,0.7795977,0.00029999996,0.33320764311326617,15.978632478632479,0.17026696,0.3325406827825181,0.0005186448,-0.1715457,0.00021618791,0.00021169633,0.0033973164
448000,0.763717,0.0003,0.33718044234573336,15.928270042194093,0.1708921,0.337428648732131,0.00053971633,-0.17255345,0.0002221239,0.00021677908,0.0032783505
452000,0.7546143,0.00029999999,0.33773679033679477,15.923728813559322,0.17033839,0.3377367963351436,0.00049228687,-0.17248873,0.00020474121,0.00020195928,0.0031588397
456000,0.7713123,0.00029999999,0.3330009980916472,15.974576271186441,0.17069289,0.3332502565867567,0.0004801776,-0.17304175,0.0002079467,0.00020157461,0.0030518675
460000,0.76181734,0.0003,0.3435544441751343,15.97872340425532,0.16975613,0.3433041379806843,0.00056985003,-0.17247653,0.0002261562,0.00021439065,0.0029441235
464000,0.709944,0.00029999999,0.3376768437540355,15.962025316455696,0.17078297,0.3381106752144583,0.00056257355,-0.17037523,0.00022584619,0.0002156856,0.0028387378
468000,0.70480025,0.00029999999,0.35131414343226464,15.927659574468086,0.17034881,0.3510717920390731,0.00065591856,-0.17175199,0.00024395317,0.00023469608,0.002743113
472000,0.69826216,0.00029999999,0.34144834453286993,15.903361344537815,0.1714576,0.3413998571220581,0.00048300432,-0.1725687,0.00020769647,0.00020582652,0.0026458977
476000,0.667415,0.00029999996,0.34367960006632703,15.940425531914894,0.17181905,0.343469598662045,0.0004667823,-0.17391737,0.00020340446,0.00019689312,0.0025566868
480000,0.68306565,0.00029999999,0.3431372555515057,15.886075949367088,0.17222112,0.34363366363232145,0.00044471934,-0.17489082,0.00019499396,0.00019229241,0.0024761455
484000,0.6675084,0.00029999999,0.32601141781086407,15.936708860759493,0.17209564,0.323654044782585,0.00047382424,-0.17565438,0.00020238574,0.00019830286,0.0023968436
488000,0.64588386,0.00029999999,0.3561952445101231,15.923404255319149,0.17544495,0.3579262272312732,0.0004367709,-0.17607269,0.00019247664,0.0001891627,0.0023223124
492000,0.6099496,0.00029999999,0.3521997043315102,15.966386554621849,0.17630169,0.3514456696555776,0.00043131318,-0.17593017,0.0001894538,0.00018631712,0.0022531156
496000,0.5757188,0.00029999999,0.3796227355625182,15.877637130801688,0.17834038,0.3791263402765813,0.00048891315,-0.17742737,0.00020032027,0.00019577522,0.0021930342
500000,0.5998878,0.00029999999,0.3702865768319521,15.931623931623932,0.17684902,0.3721336053084519,0.00050787994,-0.17727743,0.00019995894,0.00018931384,0.0021329913
504000,0.59663916,0.00029999999,0.3719723189421812,15.907563025210084,0.17691973,0.37056342113118634,0.0004634381,-0.1785934,0.00019319393,0.00018651041,0.0020749383
508000,0.55723,0.0003,0.36939182479755356,15.847457627118644,0.17783448,0.3698188190344517,0.0005069109,-0.17802705,0.00019700236,0.00018593927,0.0020199353
512000,0.5717601,0.00029999996,0.3680177961765718,15.915966386554622,0.17567301,0.3670886137251613,0.0004330429,-0.17861398,0.00018920297,0.00018906279,0.0019705994
516000,0.551795,0.00029999999,0.3755944941192865,15.961702127659574,0.17886698,0.37649551987395447,0.00044638672,-0.17876898,0.00018511203,0.00018119809,0.0019258319
520000,0.5180329,0.00029999999,0.38148055919367124,15.927966101694915,0.17956267,0.3814805647263588,0.0004901633,-0.1798349,0.00019156771,0.00018766102,0.0018794866
524000,0.5029086,0.00029999999,0.38297607265886363,15.927966101694915,0.18192233,0.38297607781270804,0.00048814327,-0.18054126,0.00019244126,0.00018727646,0.0018485195
528000,0.4984378,0.00029999999,0.3806300763134303,15.803347280334728,0.18027285,0.37963421213902343,0.00040573062,-0.18182191,0.0001766402,0.00017044893,0.0018228174
532000,0.49545166,0.00029999996,0.39041945896256824,15.822784810126583,0.18229575,0.39137420211644736,0.00042756525,-0.18309827,0.00017297087,0.00016625802,0.0017937842
536000,0.5066308,0.00029999999,0.37580326349012744,15.953781512605042,0.18338509,0.3753738843409692,0.00043855747,-0.18383291,0.00017666987,0.00017653116,0.0017644335
540000,0.4806652,0.00029999999,0.3757196501690023,15.914893617021276,0.1839113,0.3761479333357469,0.00038174549,-0.18440576,0.00016217121,0.00015721483,0.00173551
544000,0.47130963,0.00029999999,0.392280963457775,15.89451476793249,0.18437698,0.39194915746733294,0.00042388853,-0.18559809,0.00016752844,0.00016239924,0.001711739
548000,0.49544132,0.00029999999,0.38905435666158983,15.90295358649789,0.18605244,0.38930256179050554,0.000418351,-0.18678567,0.00017182574,0.00016560429,0.0016841702
552000,0.49559247,0.00029999999,0.3954943691954968,15.974468085106382,0.18833087,0.39556331591585936,0.00038883503,-0.18845403,0.00016231053,0.0001571862,0.0016504492
556000,0.47939736,0.0003,0.4036640090062835,15.936440677966102,0.18756932,0.40391326534672306,0.00040728966,-0.1888064,0.00016535877,0.00016272045,0.0016236623
560000,0.48052585,0.0003,0.40472071324357717,15.995798319327731,0.18825024,0.4048811066657939,0.00037702676,-0.1902275,0.00015731656,0.0001551182,0.0016022094
564000,0.47535765,0.00029999999,0.4019607852539446,15.931623931623932,0.18884894,0.4015453691767939,0.0003541122,-0.19105405,0.00015729696,0.00015241814,0.0015777233
568000,0.47662604,0.00029999996,0.4035740889734608,15.940928270042194,0.19069433,0.4035740934846773,0.00034987638,-0.19234516,0.00015101206,0.00014488117,0.0015513725
572000,0.47427064,0.0003,0.4050348964283022,15.974576271186441,0.19100614,0.40600751448184885,0.00036103238,-0.19349252,0.00015092765,0.00014585846,0.0015367486
576000,0.4618713,0.00029999996,0.3974358989164615,16.0,0.19187613,0.39649562518647374,0.0003762759,-0.19468296,0.00014558974,0.00014079892,0.0015312947
580000,0.43363586,0.00029999999,0.40729709733513336,15.957805907172995,0.19490476,0.4072781710301415,0.00032456947,-0.19609502,0.00013776615,0.00013324675,0.0015392277
